Picture   Pixel No.      Alpha       Red         Green       Blue
BK         634 =         255           0         162         232
BK         635 =         255           0         162         232
BK         636 =         255           0         162         232
BK         637 =         255           0         162         232
BK         638 =         255           0         162         232
BK         639 =         255           0         162         232
BK         640 =         255           0         162         232
GS         641 =         255         237          28          36
GS         642 =         255         237          28          36
GS         643 =         255         237          28          36
GS         644 =         255         237          28          36
GS         645 =         255         237          28          36
GS         646 =         255         237          28          36
GS         647 =         255         237          28          36
GS         648 =         255         237          28          36
GS         649 =         255         237          28          36
GS         650 =         255         237          28          36
GS         651 =         255         237          28          36
GS         652 =         255         237          28          36
GS         653 =         255         237          28          36
GS         654 =         255         237          28          36
GS         655 =         255         237          28          36
GS         656 =         255         237          28          36
GS         657 =         255         237          28          36
GS         658 =         255         237          28          36
GS         659 =         255         237          28          36
BK         660 =         255           0         162         232
BK         661 =         255           0         162         232
BK         662 =         255           0         162         232
BK         663 =         255           0         162         232
BK         664 =         255           0         162         232
BK         665 =         255           0         162         232
BK         666 =         255           0         162         232
BK         667 =         255           0         162         232
BK         668 =         255           0         162         232
BK         669 =         255           0         162         232
BK         670 =         255           0         162         232
GS         671 =         255         237          28          36
GS         672 =         255         237          28          36
GS         673 =         255         237          28          36
GS         674 =         255         237          28          36
GS         675 =         255         237          28          36
GS         676 =         255         237          28          36
GS         677 =         255         237          28          36
GS         678 =         255         237          28          36
GS         679 =         255         237          28          36
GS         680 =         255         237          28          36
GS         681 =         255         237          28          36
GS         682 =         255         237          28          36
GS         683 =         255         237          28          36
GS         684 =         255         237          28          36
GS         685 =         255         237          28          36
GS         686 =         255         237          28          36
GS         687 =         255         237          28          36
GS         688 =         255         237          28          36
GS         689 =         255         237          28          36
BK         690 =         255           0         162         232
BK         691 =         255           0         162         232
BK         692 =         255           0         162         232
BK         693 =         255           0         162         232
BK         694 =         255           0         162         232
BK         695 =         255           0         162         232
BK         696 =         255           0         162         232
BK         697 =         255           0         162         232
BK         698 =         255           0         162         232
BK         699 =         255           0         162         232
BK         700 =         255           0         162         232
GS         701 =         255         237          28          36
GS         702 =         255         237          28          36
GS         703 =         255         237          28          36
GS         704 =         255         237          28          36
GS         705 =         255         237          28          36
GS         706 =         255         237          28          36
GS         707 =         255         237          28          36
GS         708 =         255         237          28          36
GS         709 =         255         237          28          36
GS         710 =         255         237          28          36
GS         711 =         255         237          28          36
GS         712 =         255         237          28          36
GS         713 =         255         237          28          36
GS         714 =         255         237          28          36
GS         715 =         255         237          28          36
GS         716 =         255         237          28          36
GS         717 =         255         237          28          36
GS         718 =         255         237          28          36
GS         719 =         255         237          28          36
BK         720 =         255           0         162         232
BK         721 =         255           0         162         232
BK         722 =         255           0         162         232
BK         723 =         255           0         162         232
BK         724 =         255           0         162         232
BK         725 =         255           0         162         232
BK         726 =         255           0         162         232
BK         727 =         255           0         162         232
BK         728 =         255           0         162         232
BK         729 =         255           0         162         232
BK         730 =         255           0         162         232
GS         731 =         255         237          28          36
GS         732 =         255         237          28          36
GS         733 =         255         237          28          36
GS         734 =         255         237          28          36
GS         735 =         255         237          28          36
GS         736 =         255         237          28          36
GS         737 =         255         237          28          36
GS         738 =         255         237          28          36
GS         739 =         255         237          28          36
GS         740 =         255         237          28          36
GS         741 =         255         237          28          36
GS         742 =         255         237          28          36
GS         743 =         255         237          28          36
GS         744 =         255         237          28          36
GS         745 =         255         237          28          36
GS         746 =         255         237          28          36
GS         747 =         255         237          28          36
GS         748 =         255         237          28          36
GS         749 =         255         237          28          36
INFO: [USF-XSim-96] XSim completed. Design snapshot 'pixelchanger_behav' loaded.
INFO: [USF-XSim-97] XSim simulation ran for 1000ns
launch_simulation: Time (s): cpu = 00:00:04 ; elapsed = 00:00:11 . Memory (MB): peak = 791.301 ; gain = 3.930
